date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:45:05	208/208	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Sep%202018%2014:45:05%20GMT	http://localhost/robots.txt		(from )
17:45:06	25676/25676	U--MC-	200	updated ('OK')	text/html	date:Sat,%2015%20Sep%202018%2014:45:04%20GMT	http://localhost/wuhbet/	C:/My%20Web%20Sites/estifanos/localhost/wuhbet/index.html	(from )
17:45:07	6460/6460	U-----	200	untouched ('')	image/jpeg	etag:%225000000069cf8-193c-575ce514a8d8f%22	http://localhost/wuhbet/wp-content/uploads/2018/09/cljpg.jpg	C:/My%20Web%20Sites/estifanos/localhost/wuhbet/wp-content/uploads/2018/09/cljpg.jpg	(from http://localhost/wuhbet/)
17:45:09	268/268	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Sep%202018%2014:45:07%20GMT	http://localhost/wuhbet/wp-content/plugins/mega-addons-for-visual-composer/js/script.js?ver=4.7.2	C:/My%20Web%20Sites/estifanos/localhost/wuhbet/wp-content/plugins/mega-addons-for-visual-composer/js/script.12e100.delayed	(from http://localhost/wuhbet/)
17:45:10	3428/3428	---M--	404	error ('Not%20Found')	text/html	etag:%227477193da9bb2c8bd0ce0f1caf3c1969%22	http://localhost/wuhbet/index.php/feed/	C:/My%20Web%20Sites/estifanos/localhost/wuhbet/index.php/feed/index.html	(from http://localhost/wuhbet/)
17:45:10	1743/1743	U-----	200	untouched ('OK')	text/css	etag:%2240000000699a4-6cf-56fc141a11400%22	http://localhost/wuhbet/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.0.4	C:/My%20Web%20Sites/estifanos/localhost/wuhbet/wp-content/plugins/contact-form-7/includes/css/styles5560.css	(from http://localhost/wuhbet/)
17:45:10	437322/437322	U-----	200	untouched ('OK')	text/css	etag:%224000000069618-6ac4a-5647647f96b00%22	http://localhost/wuhbet/wp-content/plugins/mega-addons-for-visual-composer/css/ihover.css?ver=4.7.2	C:/My%20Web%20Sites/estifanos/localhost/wuhbet/wp-content/plugins/mega-addons-for-visual-composer/css/ihovere100.css	(from http://localhost/wuhbet/)
17:45:10	1285/1285	U-----	200	untouched ('OK')	text/css	etag:%224000000069628-505-5647647f96b00%22	http://localhost/wuhbet/wp-content/plugins/mega-addons-for-visual-composer/css/style.css?ver=4.7.2	C:/My%20Web%20Sites/estifanos/localhost/wuhbet/wp-content/plugins/mega-addons-for-visual-composer/css/stylee100.css	(from http://localhost/wuhbet/)
17:45:10	133411/133411	---M--	200	added ('OK')	text/css	etag:%224000000069b45-20923-575e990e6d1d7%22	http://localhost/wuhbet/wp-content/uploads/dynamic_avia/enfold.css?ver=5b9d13e667ae7	C:/My%20Web%20Sites/estifanos/localhost/wuhbet/wp-content/uploads/dynamic_avia/enfold1a01.css	(from http://localhost/wuhbet/)
17:45:10	755/755	U-----	200	untouched ('')	application/rss+xml	etag:%22c74fa9f3b7a8a6824cc445e6d6b49caa%22	http://localhost/wuhbet/index.php/comments/feed/	C:/My%20Web%20Sites/estifanos/localhost/wuhbet/index.php/comments/feed/index.html	(from http://localhost/wuhbet/)
17:45:11	37414/37414	U-----	200	untouched ('OK')	text/css	etag:%224000000069630-9226-5647647f96b00%22	http://localhost/wuhbet/wp-content/plugins/mega-addons-for-visual-composer/css/font-awesome/css/font-awesome.css?ver=4.7.2	C:/My%20Web%20Sites/estifanos/localhost/wuhbet/wp-content/plugins/mega-addons-for-visual-composer/css/font-awesome/css/font-awesomee100.css	(from http://localhost/wuhbet/)
